CollegeName,TotalRegistrations
ST.ANN'S COLLEGE OF ENGINEERING & TECHNOLOGY,2
"NATIONAL INSTITUTE OF TECHNOLOGY, ANDHRA PRADESH",2
"NATIONAL INSTITUTE OF TECHNOLOGY, SILCHAR",2
VIGNAN UNIVERSITY,2
NIT ANDHRA PRADESH,2
VNR VIGNANA JYOTHI INSTITUTE OF ENGINEERING &TECHNOLOGY,2
UNIVERSITY OF TEXAS AT DALLAS,2
PVP SIDDHARTHA INSTITUTE OF TECHNOLOGY,2
GURUNANAK INSTITUTE OF TECHNICAL CAMPUS,2
TCS,2
KALASALINGAM ACEDMY OF RESEARCH AND EDUCATION,2
